import_time,store_id,store_name,product_id,product_name,spec,realtimeprice,category,tags,icon,分割线,store_id,store_name,product_id,product_name,spec,category,tags,realtimeprice,icon,相似度分数
2018/3/1,47090,沃尔玛-宝山万达店,2003137974,包装彩椒,300g,12.9,果蔬蛋类,,,***华丽分割线***,44047,永辉超市-长江国际店,2005553135,肉皮（包装） ,100g,蛋品杂粮,,9.9,,0.29
2018/3/1,47090,沃尔玛-宝山万达店,2003137974,包装彩椒,300g,12.9,果蔬蛋类,,,***华丽分割线***,44047,永辉超市-长江国际店,2005553294,康师傅包装饮用水 ,550ML*12,酒水饮料,,8,,0.25
2018/3/1,47090,沃尔玛-宝山万达店,2003137987,包装指天椒,100g,5.9,果蔬蛋类,,,***华丽分割线***,44047,永辉超市-长江国际店,2005553135,肉皮（包装） ,100g,蛋品杂粮,,9.9,,0.29
2018/3/1,47090,沃尔玛-宝山万达店,2003137987,包装指天椒,100g,5.9,果蔬蛋类,,,***华丽分割线***,44047,永辉超市-长江国际店,2005553294,康师傅包装饮用水 ,550ML*12,酒水饮料,,8,,0.25
2018/3/1,47090,沃尔玛-宝山万达店,2003137987,包装指天椒,100g,5.9,果蔬蛋类,,,***华丽分割线***,44047,永辉超市-长江国际店,2007613122,康师傅包装饮用水 ,1.5L,酒水饮料,,1.7,,0.25
2018/3/1,47090,沃尔玛-宝山万达店,2003137965,包装有刺黄瓜,500g,9.9,果蔬蛋类,,,***华丽分割线***,44047,永辉超市-长江国际店,2009882623,乐事黄瓜味 ,160g,蛋品杂粮,,11.9,,0.5
2018/3/1,47090,沃尔玛-宝山万达店,2003137965,包装有刺黄瓜,500g,9.9,果蔬蛋类,,,***华丽分割线***,44047,永辉超市-长江国际店,2006815481,黄瓜鱼（冰）600±,100g/份,海鲜荟萃,,23.9,,0.46
2018/3/1,47090,沃尔玛-宝山万达店,2003137965,包装有刺黄瓜,500g,9.9,果蔬蛋类,,,***华丽分割线***,44047,永辉超市-长江国际店,2008518426,荷兰黄瓜(bravo）,500g/份,时令蔬菜,,7.9,,0.42
2018/3/1,47090,沃尔玛-宝山万达店,2003138132,包装水果黄瓜,250g,5.9,果蔬蛋类,,,***华丽分割线***,44047,永辉超市-长江国际店,2009882623,乐事黄瓜味 ,160g,蛋品杂粮,,11.9,,0.43
2018/3/1,47090,沃尔玛-宝山万达店,2003138132,包装水果黄瓜,250g,5.9,果蔬蛋类,,,***华丽分割线***,44047,永辉超市-长江国际店,2006815481,黄瓜鱼（冰）600±,100g/份,海鲜荟萃,,23.9,,0.4
2018/3/1,47090,沃尔玛-宝山万达店,2003138132,包装水果黄瓜,250g,5.9,果蔬蛋类,,,***华丽分割线***,44047,永辉超市-长江国际店,2008518426,荷兰黄瓜(bravo）,500g/份,时令蔬菜,,7.9,,0.36
2018/3/1,47090,沃尔玛-宝山万达店,2003137972,包装油麦菜,300g,7.9,果蔬蛋类,,,***华丽分割线***,44047,永辉超市-长江国际店,2005554397,油麦菜,400g/份,时令蔬菜,,5.38,,0.85
2018/3/1,47090,沃尔玛-宝山万达店,2003137972,包装油麦菜,300g,7.9,果蔬蛋类,,,***华丽分割线***,44047,永辉超市-长江国际店,2005553135,肉皮（包装） ,100g,蛋品杂粮,,9.9,,0.29
2018/3/1,47090,沃尔玛-宝山万达店,2003137972,包装油麦菜,300g,7.9,果蔬蛋类,,,***华丽分割线***,44047,永辉超市-长江国际店,2005553294,康师傅包装饮用水 ,550ML*12,酒水饮料,,8,,0.25
2018/3/1,47090,沃尔玛-宝山万达店,2003137980,包装湖南椒,300g,15.9,果蔬蛋类,,,***华丽分割线***,44047,永辉超市-长江国际店,2005553135,肉皮（包装） ,100g,蛋品杂粮,,9.9,,0.41
2018/3/1,47090,沃尔玛-宝山万达店,2003137980,包装湖南椒,300g,15.9,果蔬蛋类,,,***华丽分割线***,44047,永辉超市-长江国际店,2005553294,康师傅包装饮用水 ,550ML*12,酒水饮料,,8,,0.35
2018/3/1,47090,沃尔玛-宝山万达店,2003137980,包装湖南椒,300g,15.9,果蔬蛋类,,,***华丽分割线***,44047,永辉超市-长江国际店,2007613122,康师傅包装饮用水 ,1.5L,酒水饮料,,1.7,,0.35
2018/3/1,47090,沃尔玛-宝山万达店,2003934520,包装甜玉米,400g,9.9,果蔬蛋类,,,***华丽分割线***,44047,永辉超市-长江国际店,2008213667,甜玉米(bravo）700±,50g/份,时令蔬菜,,11.9,,0.54
2018/3/1,47090,沃尔玛-宝山万达店,2003934520,包装甜玉米,400g,9.9,果蔬蛋类,,,***华丽分割线***,44047,永辉超市-长江国际店,2005553135,肉皮（包装） ,100g,蛋品杂粮,,9.9,,0.27
2018/3/1,47090,沃尔玛-宝山万达店,2003934520,包装甜玉米,400g,9.9,果蔬蛋类,,,***华丽分割线***,44047,永辉超市-长江国际店,2007613122,康师傅包装饮用水 ,1.5L,酒水饮料,,1.7,,0.23
2018/3/1,47090,沃尔玛-宝山万达店,2003137985,包装生姜,450g,9.9,果蔬蛋类,,,***华丽分割线***,44047,永辉超市-长江国际店,2005555493,生姜450±,50g/份,时令蔬菜,活动期间(02.07-02.13)每人限购10件,5.49,,0.48
2018/3/1,47090,沃尔玛-宝山万达店,2003137985,包装生姜,450g,9.9,果蔬蛋类,,,***华丽分割线***,44047,永辉超市-长江国际店,2010330030,白猫生姜洗洁精,1.1kg,日用百货,,11,,0.39
2018/3/1,47090,沃尔玛-宝山万达店,2003137985,包装生姜,450g,9.9,果蔬蛋类,,,***华丽分割线***,44047,永辉超市-长江国际店,2005554726,雕牌生姜洗洁精 ,1.5kg,日用百货,,11.9,,0.37
2018/3/1,47090,沃尔玛-宝山万达店,2003137971,包装生菜,300g,7.9,果蔬蛋类,,,***华丽分割线***,44047,永辉超市-长江国际店,2005553727,生菜(bravo）,400g/份,时令蔬菜,,7.5,,0.56
2018/3/1,47090,沃尔玛-宝山万达店,2003137971,包装生菜,300g,7.9,果蔬蛋类,,,***华丽分割线***,44047,永辉超市-长江国际店,2005553135,肉皮（包装） ,100g,蛋品杂粮,,9.9,,0.31
2018/3/1,47090,沃尔玛-宝山万达店,2003137971,包装生菜,300g,7.9,果蔬蛋类,,,***华丽分割线***,44047,永辉超市-长江国际店,2005553294,康师傅包装饮用水 ,550ML*12,酒水饮料,,8,,0.26
2018/3/1,47090,沃尔玛-宝山万达店,2003138127,包装白洋葱,500g,5.9,果蔬蛋类,,,***华丽分割线***,44047,永辉超市-长江国际店,2005555468,紫洋葱500±,30g/份,时令蔬菜,,3.9,,0.5
2018/3/1,47090,沃尔玛-宝山万达店,2003138127,包装白洋葱,500g,5.9,果蔬蛋类,,,***华丽分割线***,44047,永辉超市-长江国际店,2005553135,肉皮（包装） ,100g,蛋品杂粮,,9.9,,0.34
2018/3/1,47090,沃尔玛-宝山万达店,2003138127,包装白洋葱,500g,5.9,果蔬蛋类,,,***华丽分割线***,44047,永辉超市-长江国际店,2005553294,康师傅包装饮用水 ,550ML*12,酒水饮料,,8,,0.28
2018/3/1,47090,沃尔玛-宝山万达店,2011347427,包装白玉菇,150g,6,果蔬蛋类,,,***华丽分割线***,44047,永辉超市-长江国际店,2005553135,肉皮（包装） ,100g,蛋品杂粮,,9.9,,0.35
2018/3/1,47090,沃尔玛-宝山万达店,2011347427,包装白玉菇,150g,6,果蔬蛋类,,,***华丽分割线***,44047,永辉超市-长江国际店,2007613122,康师傅包装饮用水 ,1.5L,酒水饮料,,1.7,,0.29
2018/3/1,47090,沃尔玛-宝山万达店,2011347427,包装白玉菇,150g,6,果蔬蛋类,,,***华丽分割线***,44047,永辉超市-长江国际店,2005553294,康师傅包装饮用水 ,550ML*12,酒水饮料,,8,,0.29
2018/3/1,47090,沃尔玛-宝山万达店,2003138128,包装百合,100g,9.9,果蔬蛋类,,,***华丽分割线***,44047,永辉超市-长江国际店,2005553817,百合,100g/份,蛋品杂粮,,7.8,,0.77
2018/3/1,47090,沃尔玛-宝山万达店,2003138128,包装百合,100g,9.9,果蔬蛋类,,,***华丽分割线***,44047,永辉超市-长江国际店,2005553808,鲜百合,200g/份,时令蔬菜,,4.69,,0.77
2018/3/1,47090,沃尔玛-宝山万达店,2003138128,包装百合,100g,9.9,果蔬蛋类,,,***华丽分割线***,44047,永辉超市-长江国际店,2005553135,肉皮（包装） ,100g,蛋品杂粮,,9.9,,0.35
2018/3/1,47090,沃尔玛-宝山万达店,2004962756,包装皱皮椒,300g,7.9,果蔬蛋类,,,***华丽分割线***,44047,永辉超市-长江国际店,2005553135,肉皮（包装） ,100g,蛋品杂粮,,9.9,,0.29
2018/3/1,47090,沃尔玛-宝山万达店,2004962756,包装皱皮椒,300g,7.9,果蔬蛋类,,,***华丽分割线***,44047,永辉超市-长江国际店,2005553294,康师傅包装饮用水 ,550ML*12,酒水饮料,,8,,0.25
2018/3/1,47090,沃尔玛-宝山万达店,2004962756,包装皱皮椒,300g,7.9,果蔬蛋类,,,***华丽分割线***,44047,永辉超市-长江国际店,2007613122,康师傅包装饮用水 ,1.5L,酒水饮料,,1.7,,0.25
2018/3/1,47090,沃尔玛-宝山万达店,2003137962,包装粉柿,550g,7.9,果蔬蛋类,,,***华丽分割线***,44047,永辉超市-长江国际店,2005553135,肉皮（包装） ,100g,蛋品杂粮,,9.9,,0.29
2018/3/1,47090,沃尔玛-宝山万达店,2003137962,包装粉柿,550g,7.9,果蔬蛋类,,,***华丽分割线***,44047,永辉超市-长江国际店,2005553294,康师傅包装饮用水 ,550ML*12,酒水饮料,,8,,0.25
2018/3/1,47090,沃尔玛-宝山万达店,2003137962,包装粉柿,550g,7.9,果蔬蛋类,,,***华丽分割线***,44047,永辉超市-长江国际店,2007613122,康师傅包装饮用水 ,1.5L,酒水饮料,,1.7,,0.25
2018/3/1,47090,沃尔玛-宝山万达店,2009805330,包装紫甘蓝,500g,7.9,果蔬蛋类,,,***华丽分割线***,44047,永辉超市-长江国际店,2005553135,肉皮（包装） ,100g,蛋品杂粮,,9.9,,0.32
2018/3/1,47090,沃尔玛-宝山万达店,2009805330,包装紫甘蓝,500g,7.9,果蔬蛋类,,,***华丽分割线***,44047,永辉超市-长江国际店,2007613122,康师傅包装饮用水 ,1.5L,酒水饮料,,1.7,,0.27
2018/3/1,47090,沃尔玛-宝山万达店,2009805330,包装紫甘蓝,500g,7.9,果蔬蛋类,,,***华丽分割线***,44047,永辉超市-长江国际店,2005553294,康师傅包装饮用水 ,550ML*12,酒水饮料,,8,,0.27
2018/3/1,47090,沃尔玛-宝山万达店,2003935567,包装紫薯,700g,12.9,果蔬蛋类,,,***华丽分割线***,44047,永辉超市-长江国际店,2007760219,安井紫薯包 ,800g,日配冷藏,,17.6,,0.6
2018/3/1,47090,沃尔玛-宝山万达店,2003935567,包装紫薯,700g,12.9,果蔬蛋类,,,***华丽分割线***,44047,永辉超市-长江国际店,2006816075,银鹭好粥道紫薯紫米粥 ,280g,粮油调味,,4.2,,0.51
